"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2";"C_0402_1005Metric";2;"4u7F";;;
2;"C3";"C_0402_1005Metric";1;"22uF";;;
3;"C4";"C_0402_1005Metric";1;"0u1F";;;
4;"C5, C6";"C_0402_1005Metric";2;"10uF";;;
5;"C7";"C_0402_1005Metric";1;"1uF";;;
6;"C8";"C_0402_1005Metric";1;"1.0uF";;;
7;"C9";"C_0402_1005Metric";1;"10uF";;;
8;"C10, C15";"C_0402_1005Metric";2;"0u1F";;;
9;"C14";"C_0201_0603Metric";1;"10nF";;;
10;"D1";"D_SOD-923";1;"ESD9B5.0ST5G";;;
11;"D2";"LED_0402_1005Metric";1;"LED GRN";;;
12;"D3, D7";"LED_0402_1005Metric";2;"LED RED";;;
13;"D5";"LED_0402_1005Metric";1;"LED BLUE";;;
14;"D8, D9";"SODFL1006X40N";2;"ESD9101P2T5G";;;
15;"IC1";"SON50P150X200X100-8N-D";1;"TPS62840DLCR";;;
16;"IC2";"SON40P220X200X80-11N";1;"BQ25185DLHR";;;
17;"J1, J4";"Castellated_1x12_P2.54mm_D0.80mm";2;"Castellated_1x12";;;
18;"J2";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
19;"L1";"DFE201210S1R0MP2";1;"DFE201210S-2R2M=P2";;;
20;"R1";"R_0402_1005Metric";1;"267K";;;
21;"R2";"R_0402_1005Metric";1;"18k";;;
22;"R3";"R_0402_1005Metric";1;"300";;;
23;"R4, R5";"R_0402_1005Metric";2;"5k1";;;
24;"R6, R7, R9, R10";"R_0402_1005Metric";4;"2k2";;;
25;"R8";"R_0402_1005Metric";1;"100k";;;
26;"R13, R17";"R_0402_1005Metric";2;"10k";;;
27;"R14, R16";"R_0402_1005Metric";2;"4k7";;;
28;"TP1";"TestPoint_Pad_1.5x1.5mm";1;"TestPoint";;;
29;"TP3";"TestPoint_Pad_1.5x1.5mm";1;"TestPoint";;;
30;"U1";"ESP32-C6-MINI-1";1;"ESP32-C6-MINI-1";;;
31;"U2";"LGA-12_2X2X0P7_STM";1;"LIS2DW12TR";;;
32;"U3";"DFN-8_2x2mm_P0.5mm_EP1.2x0.8mm";1;"MAX17048";;;
33;"U5";"Texas_X2SON-5_0.8x0.8mm_P0.48mm";1;"TMP110D";;;
