"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C5";"C_0402_1005Metric";3;"10uF";;;
2;"C3";"C_0402_1005Metric";1;"22uF";;;
3;"C4, C10, C11, C12";"C_0402_1005Metric";4;"0u1F";;;
4;"C6";"C_0402_1005Metric";1;"10uF";;;
5;"C7";"C_0402_1005Metric";1;"1uF";;;
6;"C8";"C_0402_1005Metric";1;"1.0uF";;;
7;"C9";"C_0402_1005Metric";1;"4u7F";;;
8;"C14";"C_0402_1005Metric";1;"10nF";;;
9;"C15";"C_0402_1005Metric";1;"0.1uF";;;
10;"D1";"D_SOD-923";1;"ESD9B5.0ST5G";;;
11;"D2";"LED_0402_1005Metric";1;"LED GRN";;;
12;"D3";"LED_0402_1005Metric";1;"LED RED";;;
13;"D4, D5";"LED_0402_1005Metric";2;"LED";;;
14;"D6";"WS2812_2020";1;"WS2812B";;;
15;"D7, D8";"SODFL1006X40N";2;"ESD9101P2T5G";;;
16;"IC1";"TPS6282533DMQR";1;"TPS6282533DMQR";;;
17;"IC2";"SON40P220X200X80-11N";1;"BQ25185DLHR";;;
18;"J1";"JST_1x02_P2.0mm_Horizontal_SMD";1;"JST_2mm_LiPo";;;
19;"J2";"USB412003C";1;"USB4120-03-C";;;
20;"J3";"JST_1x04_P1.0mm_Vertical_SMD";1;"Qwiic_Vertical";;;
21;"J4, J7";"Castellated_1x01_P2.54mm_D0.80mm";2;"Castellated_1x01";;;
22;"J8";"Castellated_1x16_P2.54mm_D0.80mm";1;"Castellated_1x16";;;
23;"J9";"Castellated_1x18_P2.54mm_D0.80mm";1;"Castellated_1x18";;;
24;"L1";"INDC1608X75N";1;"TFM160808ALC-R47MTAA";;;
25;"R1, R8";"R_0402_1005Metric";2;"100k";;;
26;"R2";"R_0402_1005Metric";1;"18k";;;
27;"R3";"R_0402_1005Metric";1;"300";;;
28;"R4, R5";"R_0402_1005Metric";2;"5k1";;;
29;"R9, R10, R11, R12";"R_0402_1005Metric";4;"2k2";;;
30;"R13, R17, TH1";"R_0402_1005Metric";3;"10k";;;
31;"R14, R16";"R_0402_1005Metric";2;"4k7";;;
32;"S1, S2";"NANOT160AS";2;"NANOT160AS";;;
33;"U1, U5";"SOT-363_SC-70-6";2;"LM66100DCK";;;
34;"U2";"ESP32-S2-MINI-1";1;"ESP32-S3-MINI-1";;;
35;"U3";"DFN-8_2x2mm_P0.5mm_EP1.2x0.8mm";1;"MAX17048";;;
36;"U4";"SOT-563";1;"TMP112A";;;
