Id;Designator;Footprint;Quantity;Designation;Supplier and ref
1;C11,C12,C10;C_0402_1005Metric;3;0u1F;
16;C14;C_0402_1005Metric;1;10nF;
25;C3;C_0402_1005Metric;1;22uF;
19;C4;C_0402_1005Metric;1;0u1F;
7;C5,C1,C2;C_0402_1005Metric;3;10uF;
14;C9;C_0402_1005Metric;1;4u7F;
17;D1;D_SOD-923;1;ESD9B5.0ST5G;
8;D4,D5;LED_0402_1005Metric;2;LED;
6;D6;WS2812_2020;1;WS2812B;
4;D7,D8;D_SOD-923;2;ESD9101P2T5G;
27;IC1;TPS6282533DMQR;1;TPS6282533DMQR;
3;J1;Castellated_1x07_P2.54mm_D0.80mm;1;Castellated_1x07;
26;J2;USB412003C;1;USB4120-03-C;
15;J3;JST_1x04_P1.0mm_Vertical_SMD;1;Qwiic_Vertical;
24;J4;Castellated_1x01_P2.54mm_D0.80mm;1;Castellated_1x01;
11;J5;Castellated_1x13_P2.54mm_D0.80mm;1;Castellated_1x13;
10;J6;Castellated_1x15_P2.54mm_D0.80mm;1;Castellated_1x15;
5;L1;INDC1608X75N;1;TFM160808ALC-R47MTAA;
20;R1;R_0402_1005Metric;1;100k;
12;R12,R11;R_0402_1005Metric;2;2k2;
13;R13,R17;R_0402_1005Metric;2;10k;
2;R14,R16;R_0402_1005Metric;2;4k7;
9;R4,R5;R_0402_1005Metric;2;5k1;
22;S1,S2;NANOT160AS;2;NANOT160AS;
18;U1;ESP32-S2-MINI-1U;1;ESP32-S3-MINI-1U;
21;U3,U2;SOT-363_SC-70-6;2;LM66100DCK;
23;U4;SOT-563;1;TMP102;
